Date,Open,High,Low,Close,Volume
2006-01-03,63.48287591914457,63.465111993351385,62.4259242779677,63.11864240015092,5186789.324357431
2006-01-04,68.21843965692545,68.39990298820463,66.99450832717208,67.75375687227441,7192480.72220185
2006-01-05,66.29098924383744,66.31651282393237,65.06549118963407,65.65380535115312,6921774.625348255
2006-01-06,67.74453423016696,67.8755763158453,66.40598513748188,67.31122909410428,6349111.660817054
2006-01-09,68.82374912497019,68.999518549959,67.4254980648349,68.48477666175755,5932817.087953034
2006-01-10,92.44804849851268,92.65159873886844,90.80330672366922,92.05455062026648,5260484.004872412
2006-01-11,103.09069877735789,103.6146309730895,101.34367272983894,103.14415652328896,4235495.962053993
2006-01-12,107.5377073904074,108.24921917575404,105.82506162252923,107.7745546593204,3977793.142503942
2006-01-13,120.449978966105,121.12495993817508,118.7438146297644,120.44817928392544,4163371.168730452
2006-01-17,114.92229181989649,115.66855485745874,113.33685748559051,115.00556062435648,4090909.395468231
2006-01-18,115.96312102615576,116.69954064762122,114.36258615237226,115.96365994425422,4326771.948188549
2006-01-19,122.67533019745358,123.29126981624648,121.04984215515528,122.4714563997803,4157408.355474074
2006-01-20,117.90302638309475,118.5249201684208,116.39391582583404,117.72712035589704,4006317.633633874
2006-01-23,118.46662784193752,119.1227888221882,116.9460599421106,118.24630043121522,4463298.942878548
2006-01-24,114.47548834426512,115.0784983372605,113.03835930801456,114.18709412478626,4511556.416995834
2006-01-25,115.59307981729944,116.23929111299036,114.1205995435306,115.33342198734545,4620521.6462854175
2006-01-26,121.94644999036367,122.57114823118596,120.4477065316119,121.61656592018132,4506964.660571234
2006-01-27,117.20200712992214,117.93493035029763,115.801686387101,117.0166963913042,4519650.363558816
2006-01-30,113.06339822376148,113.90436391151997,111.71627204040048,112.94137178371165,5113330.468459415
2006-01-31,112.8484642609118,113.63844277243804,111.4673372641717,112.63698532672052,5317245.425111063
2006-02-01,116.19610262070704,116.89578830479748,114.76893593253092,115.91578662729042,4880570.096325531
2006-02-02,115.50084608997092,116.24374178177992,114.08654546837198,115.32151104354016,4576575.20367596
2006-02-03,112.82339455227124,113.5992227504195,111.46598449153058,112.65758736458322,4802319.946097208
2006-02-06,114.8109988152636,115.57517829772928,113.42591925027378,114.58944089363156,4968470.088290602
2006-02-07,114.3221153731934,115.10641489209227,112.98254833753836,114.16116157912282,4674673.597057656
2006-02-08,117.10159475018295,117.94492360745951,115.73146379936378,117.00807681343927,4586576.159022263
2006-02-09,118.28572544731678,119.14676139572174,116.93726752499664,118.23823413620626,4304492.069784069
2006-02-10,122.79761029801084,123.70246987687302,121.43377011785104,122.79383298585284,4106852.394821719
2006-02-13,122.50818862393128,123.43651974363694,121.17097777917668,122.53784866327108,4040465.2245773855
